,Name,Team,Mins Per Game,Field Goal %,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Points Per Game
700,Thomas Bryant,WAS,16.3,.520,4.0,0.9,0.2,0.8,0.7,7.4
701,Aaron Holiday,WAS,16.2,.467,1.6,1.9,0.6,0.2,1.0,6.1
702,Dāvis Bertāns,WAS,14.7,.351,1.8,0.5,0.3,0.2,0.4,5.7
703,Anthony Gill,WAS,10.5,.569,1.9,0.6,0.1,0.3,0.4,4.1
704,Greg Monroe,WAS,9.0,.500,5.0,0.5,0.5,0.5,1.0,4.0
705,Vernon Carey Jr.,WAS,9.0,.571,2.3,0.0,0.3,0.3,0.7,4.0
706,Tremont Waters,WAS,8.0,.500,0.0,0.0,1.0,0.0,0.0,2.0
707,Jordan Schakel,WAS,7.5,.091,2.0,0.0,0.3,0.0,0.3,1.3
708,Craig Sword,WAS,6.3,.750,0.0,0.3,1.3,0.0,0.3,2.0
709,Isaiah Todd,WAS,6.2,.269,1.0,0.3,0.3,0.2,0.3,1.7
710,Alize Johnson,WAS,6.0,.333,4.0,0.0,0.0,0.0,1.0,1.3
711,Cassius Winston,WAS,5.6,.364,0.1,1.0,0.0,0.0,0.4,2.0
712,Jordan Goodwin,WAS,3.0,.000,0.5,0.0,0.0,0.0,0.0,0.0
713,Jaime Echenique,WAS,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
714,Joel Ayayi,WAS,2.9,.167,0.4,0.6,0.0,0.0,0.0,0.3
